colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
DennisKraaijeveld,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
afrendeiro,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
alexindigo,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
rdtechie,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
XY55bqg6iAw8ttP,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
dsebastien,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
thesomewhatyou,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
leoplanet,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
centifanto,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
mhnagaoka,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
creaumond,1,1,0.00036429872495446266,0.0,0.20719306274585533,0.0,0.00015371966111655738,0.0,1
braintornapart,1,2,0.00036429872495446266,0.0,0.16983801717408273,0.0,0.00015368580608774931,0.0,4
ali-afk,1,2,0.00036429872495446266,0.0,0.16983801717408273,0.0,0.00015368580608774931,0.0,4
yovko,1,2,0.00036429872495446266,0.0,0.16983801717408273,0.0,0.00015368580608774931,0.0,4
darshfi,2,2,0.0007285974499089253,6.569882106734577e-05,0.2132318209476153,0.0,0.00015361954545165646,0.0,19
ToprakBZK,1,1,0.00036429872495446266,0.0,0.0004098360655737705,0.0,0.00015361848333090596,0.0,37
glauberdmo,2,2,0.0007285974499089253,0.0,0.26438287034614755,0.0,0.00015345630360252122,0.043478260869565216,20
SpaceByBlank,2,2,0.0007285974499089253,0.0005997070950257372,0.2642196542516854,0.0,0.0001534393848796907,0.054779176082385785,1
BartoGabriel,1,2,0.00036429872495446266,0.0,0.15920339861575517,0.0,0.0001533812737482206,0.0,3
WToa,1,2,0.00036429872495446266,0.0,0.15920339861575517,0.0,0.0001533812737482206,0.0,3
kmos,1,2,0.00036429872495446266,0.0,0.17367447718599563,0.0,0.00015337126252684154,0.0,8
2disbetter,2,2,0.0007285974499089253,1.1808292622367743e-05,0.19013407520154976,0.0,0.00015332889302185071,0.0,3
kaedroho,1,1,0.00036429872495446266,0.0,0.18309809765933197,0.0,0.0001531264997814562,0.0,31
vynguyen205,2,2,0.0007285974499089253,0.00039901236651673213,0.2421452918125536,0.0,0.00015306525570003628,0.0,3
geoffsimp,2,2,0.0007285974499089253,0.0001961154158298693,0.24037731158589637,0.0,0.00015305758159480447,0.0,8
gabrielfranh,1,2,0.00036429872495446266,0.0,0.15950995836214243,0.0,0.00015303173282910174,0.0,19
JumpIn-Git,1,2,0.00036429872495446266,0.0,0.15950995836214243,0.0,0.00015303173282910174,0.0,19
esencia,1,1,0.00036429872495446266,0.0,0.1633764359124654,0.0,0.00015273015059147496,0.0,10
lina-roether,1,1,0.00036429872495446266,0.0,0.1633764359124654,0.0,0.00015273015059147496,0.0,10
Ticonderoga,1,1,0.00036429872495446266,0.0,0.1633764359124654,0.0,0.00015273015059147496,0.0,10
tymfry,1,1,0.00036429872495446266,0.0,0.1633764359124654,0.0,0.00015273015059147496,0.0,10
andreschapiro,1,2,0.00036429872495446266,0.0,0.15836884487648048,0.0,0.00015253473406834887,0.0,6
Xkonti,2,2,0.0007285974499089253,0.0006649960479631217,0.24026485962501226,0.0,0.00015245081827605167,0.0,19
Anik200,2,2,0.0007285974499089253,0.0,0.23972655150038566,0.0,0.00015241948392952356,0.043478260869565216,2
William-Jay-Inclino,2,2,0.0007285974499089253,0.0002588411953902865,0.26520198488816804,0.0,0.0001524045284787001,0.07900524316661475,6
uzarubin,1,1,0.00036429872495446266,0.0,0.1486082650273224,0.0,0.00015229441135969536,0.0,3
beyondeye,1,1,0.00036429872495446266,0.0,0.1486082650273224,0.0,0.00015229441135969536,0.0,3
cpuccino,2,2,0.0007285974499089253,0.00019932180429613653,0.2717120748780162,0.0,0.00015229363654585594,0.06901743704209562,2
DigitalArchon,1,1,0.00036429872495446266,0.0,0.2072599531615925,0.0,0.00015203084666880122,0.0,38
Shashwat-Chauhan,1,1,0.00036429872495446266,0.0,0.2072599531615925,0.0,0.00015203084666880122,0.0,38
rahoe,1,1,0.00036429872495446266,0.0,0.14936025240924394,0.0,0.00015179090488137904,0.0,8
rubenvisscher,1,1,0.00036429872495446266,0.0,0.14936025240924394,0.0,0.00015179090488137904,0.0,8
SophaHum,1,1,0.00036429872495446266,0.0,0.14936025240924394,0.0,0.00015179090488137904,0.0,8
okhomenko,1,1,0.00036429872495446266,0.0,0.14936025240924394,0.0,0.00015179090488137904,0.0,8
mr-zlaam,2,2,0.0007285974499089253,0.0,0.19692874383988734,0.0,0.00015178517513683896,0.043478260869565216,2
zhanggang807,1,2,0.00036429872495446266,0.0,0.17027722430025402,0.0,0.00015175018103978804,0.0,15
Macho0x,2,2,0.0007285974499089253,0.0004988034432272251,0.24178051216195565,0.0,0.00015170822639328543,0.0,2
RayGuo-ergou,1,2,0.00036429872495446266,0.0,0.17196483088944828,0.0,0.0001515875226624294,0.0,6
andy4thehuynh,1,2,0.00036429872495446266,0.0,0.17196483088944828,0.0,0.0001515875226624294,0.0,6
stanchoud-sys,1,2,0.00036429872495446266,0.0,0.17196483088944828,0.0,0.0001515875226624294,0.0,6
harpreetchima,1,2,0.00036429872495446266,0.0,0.17196483088944828,0.0,0.0001515875226624294,0.0,6
classicAmitIn,1,2,0.00036429872495446266,0.0,0.17196483088944828,0.0,0.0001515875226624294,0.0,6
nemuiyarou,2,2,0.0007285974499089253,0.00019423220774147704,0.2637041301778734,0.0,0.00015156143552915813,0.06270650305684383,1
pikdum,2,2,0.0007285974499089253,0.0006793482501425125,0.26364998148584506,0.0,0.00015129550504859953,0.06901743704209562,1
xulfm,2,2,0.0007285974499089253,0.0007408233847210304,0.2726930890593746,0.0,0.00015098371883996502,0.07900524316661475,6
MK-Mike,2,2,0.0007285974499089253,0.0,0.26632968467871093,0.0,0.00015085866799168982,0.043478260869565216,4
Beethoven-n,1,2,0.00036429872495446266,0.0,0.1449591205008259,0.0,0.0001508000412484248,0.0,1
vaibhav-mattoo,2,2,0.0007285974499089253,0.0,0.26520198488816804,0.0,0.00015069576067020438,0.043478260869565216,3
samgurung,2,2,0.0007285974499089253,0.0,0.26520198488816804,0.0,0.00015069576067020438,0.043478260869565216,3
kashopi,1,2,0.00036429872495446266,0.0,0.182512496067671,0.0,0.0001506849833184297,0.0,17
gladstomych-jumpsec,1,2,0.00036429872495446266,0.0,0.182512496067671,0.0,0.0001506849833184297,0.0,17
rakshitambi7a,1,1,0.00036429872495446266,0.0,0.10641709086536534,0.0,0.00015064647619611603,0.0,18
tarikdogic93,1,1,0.00036429872495446266,0.0,0.10641709086536534,0.0,0.00015064647619611603,0.0,18
Jynx,1,2,0.00036429872495446266,0.0,0.16335565010636965,0.0,0.00015055445152225192,0.0,3
smola,2,2,0.0007285974499089253,0.0002660899829858528,0.2400402710480586,0.0,0.0001505443554860261,0.06270650305684383,10
motaz-shokry,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
Shubham-Chy,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
marksmithsgit,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
ItIsCiprian,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
CashWilliams,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
martinstork,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
mheisig,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
BraisonCrece,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
Grepsy,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
AiHKhaled,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
wiehann,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
toni-ds,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
chris-mulvi-data,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
kashifkhan,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
eososlinux,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
joaofelipegalvao,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
aelhady03,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
Sergiogd112,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
mfontcada,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
ImToon,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
alex-305,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
apiguy,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
DankyoDev,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
Sameer292,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
LeoPazEs,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
hirschnase,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
mykiwi,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
chrisroundhill,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
meerzulee,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
martin-ro,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
nikkos,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
ttmachado,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
cannikin,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
tomycostantino,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
TAnomaly,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
mihailo-obradovic,1,2,0.00036429872495446266,0.0,0.20715963372637392,0.0,0.00015037991501750064,0.0,1
samandmoore,2,2,0.0007285974499089253,5.114262490004249e-05,0.22470693206791487,0.0,0.00015037761542617775,0.0,3
drewhamlett,2,2,0.0007285974499089253,0.0004602441775730185,0.2646553457355592,0.0,0.0001503339879387042,0.054779176082385785,2
frasergr,2,2,0.0007285974499089253,0.0,0.2422366587748449,0.0,0.00015032539768834393,0.043478260869565216,4
ninjarogue,1,2,0.00036429872495446266,0.0,0.16182184256551332,0.0,0.00015028806085990777,0.0,2
liaobinbin,2,2,0.0007285974499089253,0.0005166068557234196,0.2644373205305459,0.0,0.00015005231695781331,0.0,22
jellydn,1,2,0.00036429872495446266,0.0,0.14729556152759726,0.0,0.00014999253831004535,0.0,3
budnik,2,2,0.0007285974499089253,7.86075981943389e-05,0.21721796816715708,0.0,0.00014978111453493284,0.0,3
cornle,2,2,0.0007285974499089253,0.0006849612374285694,0.27122420993579754,0.0,0.0001497278938319359,0.06901743704209562,5
WojtekMatula,2,2,0.0007285974499089253,0.0005198702458232433,0.2742951099842054,0.0,0.00014969384628255722,0.08695652173913043,2
osmansemir,2,2,0.0007285974499089253,0.0005198702458232433,0.2742951099842054,0.0,0.00014969384628255722,0.08695652173913043,2
transporsche,2,2,0.0007285974499089253,5.583415734407595e-05,0.23753129402202675,0.0,0.0001496142835918217,0.0,3
diogoodev,1,2,0.00036429872495446266,0.0,0.17586295162800514,0.0,0.00014954807607921362,0.0,8
opiero,2,2,0.0007285974499089253,0.0003155677137534399,0.2723460409027607,0.0,0.00014923591220752404,0.07434678029029117,1
eddieedease,1,1,0.00036429872495446266,0.0,0.19213997902522492,0.0,0.0001490222989456451,0.0,21
