colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
nixsh5,2,0,3,0,0.0,0.07030417868458337,6.884972429522361e-05
juanchomann,2,1,2,1,2.434534477565184e-05,0.07031771173149089,6.845209770219459e-05
MaryamTarek03,1,0,1,0,0.0,0.05938880059260204,6.843356881879881e-05
dhanish-00,1,0,2,0,0.0,0.00018301610541727673,6.821389368041399e-05
ahmetkca,3,0,3,0,0.0,0.054990292404801314,6.788882894805042e-05
sattary,2,5,2,5,0.001693900595503757,0.07760101024266891,6.77822494644711e-05
slinn-01,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
cairin,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
daltonbr,2,4,2,4,0.0023147524414235915,0.0775844958757307,6.77822494644711e-05
MadMax-067,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
Rovetown,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
pushcx,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
njkevlani,2,0,2,0,0.0,0.07770697988621467,6.77822494644711e-05
tamayotchi,2,3,4,3,1.8045954150213416e-05,0.05140574536379844,6.776746374490904e-05
icehunt,1,4,4,12,0.00014959651187813642,0.04454662098241185,6.731582581832913e-05
darcy,1,2,4,3,0.0,0.044530297559552776,6.731582581832913e-05
rmacklin,1,15,4,23,0.00026738713314351304,0.04451942192209776,6.731582581832913e-05
mmorri,1,0,4,0,0.0,0.044576023483233085,6.731582581832913e-05
JustinMissmahl,1,0,4,0,0.0,0.044576023483233085,6.731582581832913e-05
abradburne,1,0,4,0,0.0,0.044576023483233085,6.731582581832913e-05
anoldguy,1,2,4,2,0.0,0.04452485907670476,6.731582581832913e-05
tahaN415,2,1,3,1,2.146539627290764e-05,0.07027712821183055,6.724856990289962e-05
pgmdpfcon,2,1,5,1,9.382004671702211e-07,0.052614217549343964,6.723478060906125e-05
Acharab,2,0,5,0,0.0,0.052066777714523255,6.691987869108155e-05
bzierk,2,0,3,0,0.0,0.059071881055157684,6.66279576301294e-05
arni1981,2,2,3,2,7.679059133256454e-05,0.05902048666343833,6.66279576301294e-05
andrewjanssen,2,0,3,0,0.0,0.059071881055157684,6.66279576301294e-05
rafaelbernard,2,10,3,15,6.605676233723985e-05,0.05890605043142003,6.65773546009553e-05
kyleGrealis,1,0,1,0,0.0,0.00036603221083455345,6.65477497255763e-05
schlafer,1,1,1,1,1.3402863816717444e-07,0.00036603221083455345,6.65477497255763e-05
WillEhrendreich,1,0,1,0,0.0,0.00036603221083455345,6.65477497255763e-05
sebgott,1,0,1,0,0.0,0.00036603221083455345,6.65477497255763e-05
jasencarroll,1,0,1,0,0.0,0.00036603221083455345,6.65477497255763e-05
jonnyace,1,0,1,0,0.0,0.00036603221083455345,6.65477497255763e-05
sarrietav-dev,3,1,3,1,0.00013062083667045714,0.07135829832062214,6.643020137858576e-05
cevdetta,2,0,4,0,0.0,0.05972866455936807,6.600364926541277e-05
muinmomin,2,0,2,0,0.0,0.07033124998942918,6.576785144177584e-05
shelldandy,2,0,4,0,0.0,0.055139699991712476,6.57214177416181e-05
ally1002,1,0,1,0,0.0,0.04804689102263516,6.562771918874976e-05
gigor,1,0,1,0,0.0,0.04804689102263516,6.562771918874976e-05
PatricioTabilo,1,0,1,0,0.0,0.04804689102263516,6.562771918874976e-05
domingo2000,1,1,1,2,1.3402863816717444e-07,0.04804689102263516,6.562771918874976e-05
BaselCS,1,1,1,1,2.648740961778786e-05,0.05973843212511777,6.517002533714596e-05
devsujalpatel,1,0,1,0,0.0,0.05973843212511777,6.517002533714596e-05
semakusut,2,0,2,0,0.0,0.0624338595872663,6.489481185880628e-05
weholt,2,0,2,0,0.0,0.06137441405327539,6.469292202848122e-05
alfarhan,1,1,1,1,0.0,0.06483541634715606,6.467447852031693e-05
zenhooms123321-stack,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
P1tchZ3r0,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
stallmer,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
arthur404dev,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
DoppioJP,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
michielryvers,1,1,1,2,3.28172311710378e-05,0.06494231332357248,6.467447852031693e-05
SvenSchneiderDVAG,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
danielpavone,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
r3nor,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
pandelig,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
groupsvkg,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
