source,target,tipo_interacao,peso
dhh,c4software,comentario,2
dhh,caiogouveia,comentario,2
dhh,npenza,comentario,2
dhh,ryanrhughes,comentario,2
dhh,opswole,comentario,2
dhh,ryanrhughes,comentario,2
dhh,fabricioanciaes,comentario,2
smola,ryanrhughes,comentario,2
matsest,rnadler,comentario,2
ryancolley,c4software,comentario,2
weierfischen,c4software,comentario,2
dhh,ryanrhughes,comentario,2
dhh,varo6,comentario,2
dhh,ThiaudioTT,comentario,2
dhh,busybox11,comentario,2
piotrpliszko,opswole,comentario,2
dhh,ryanrhughes,comentario,2
Kn0ax,busybox11,comentario,2
Kn0ax,busybox11,comentario,2
dhh,npenza,comentario,2
Kn0ax,busybox11,comentario,2
dhh,okdas,comentario,2
DennisKraaijeveld,okdas,comentario,2
kjvdven,c4software,comentario,2
kjvdven,c4software,comentario,2
ludgerpaehler,itsnumpty,comentario,2
ludgerpaehler,itsnumpty,comentario,2
vaxerski,diegopluna,comentario,2
ryancolley,c4software,comentario,2
Mohamedsayhii,dhh,comentario,2
zdehasek,npenza,comentario,2
dhh,bbondier,comentario,2
dhh,npenza,comentario,2
weierfischen,npenza,comentario,2
dhh,npenza,comentario,2
dhh,ghuntley,comentario,2
ludgerpaehler,Kn0ax,comentario,2
ludgerpaehler,itsnumpty,comentario,2
Kn0ax,itsnumpty,comentario,2
ludgerpaehler,itsnumpty,comentario,2
dcgibbons,itsnumpty,comentario,2
marlonmarcello,opswole,comentario,2
weierfischen,npenza,comentario,2
gusdemayo,c4software,comentario,2
brentdodell,dhh,comentario,2
dhh,ludo237,comentario,2
dhh,ludo237,comentario,2
dhh,joonjeong,comentario,2
