colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
jonwsoto,2,0,3,0,0.0,0.05688405240748224,0.00028024012461599603
peregrinus879,9,0,15,0,0.0,0.06252153846546571,0.0002794035100566945
GyHUN95,5,5,8,7,0.0011161541296019423,0.05269791186125426,0.0002786662252787506
minisiowo,6,0,6,0,0.0,0.038656868926614775,0.000278018593548055
lucasolima,8,0,9,0,0.0,0.06430099763717512,0.0002778883354786454
qasimsk20,4,0,16,0,0.0,0.06844501069453292,0.0002773994646066572
joelgaff,7,3,20,12,0.000724083501795103,0.05802950525453362,0.00027718858453306165
NicolasDorier,4,4,7,5,0.0006110275755565183,0.05313713151452966,0.00027524569700716235
JJDizz1L,2,4,4,7,2.1438113366881224e-05,0.05753602282526042,0.00027397611369555383
ahmed-zekry,4,1,4,1,0.0009122447010549261,0.053766228271026686,0.00027392246158062215
Nico-Mayer,2,0,3,0,0.0,0.057679004263120684,0.00027270646729011074
blazskufca,5,3,9,3,0.0013793069267846606,0.062269452201192815,0.0002715921311566299
eugenialoli,7,2,8,4,0.0004194707320435628,0.059179322299027226,0.0002703277517136697
defer,4,5,16,5,0.0008662617829729029,0.04384639115449683,0.0002703259162872233
abuturabofficial,9,1,14,1,0.00013508591118683978,0.05868114912483513,0.0002689573527620003
rsd,9,0,19,0,0.0,0.06462390503513074,0.0002661630722559814
codewhizz,4,1,5,1,1.6304298829792521e-06,0.05897093257730346,0.00026587932924382145
FlameHorizon,9,0,13,0,0.0,0.06234666934799749,0.0002655242061353113
c0mpile,6,0,12,0,0.0,0.04315785719937172,0.0002651036726227298
v3rtx,2,0,6,0,0.0,0.06748036078977004,0.0002650705370095399
andnig,5,0,29,0,0.0,0.06745829074340362,0.00026270621457683354
CWood-sdf,3,0,6,0,0.0,0.0539250254684731,0.00026269824356536385
derluke,5,1,5,3,1.0448885008566721e-06,0.052060627974589394,0.0002617721996011252
itsmedardan,6,0,7,0,0.0,0.055376811479514836,0.00026049379907477747
dheerapat,4,0,5,0,0.0,0.05453601289778765,0.000258655123903571
dhoppe,3,1,6,1,8.34396469524676e-07,0.0568598462966392,0.00025853855769351257
milolethbridge,6,1,6,1,0.000723479283661999,0.06774061371457918,0.00025791056540087226
gasper008,7,0,8,0,0.0,0.06802953971786584,0.00025584849927039687
StarrWulfe,6,0,7,0,0.0,0.06263866386536354,0.00025478330432564624
Shastryji,5,0,6,0,0.0,0.054034451795945466,0.0002530974559288579
TayoJuang,4,1,6,3,7.193073013143758e-07,0.05396834626102566,0.00025142857303631116
Rishabh-Sarang,8,8,18,9,0.0032117206551289415,0.06115524137966252,0.0002501062273506248
brielov,2,1,3,1,1.4793753497032329e-05,0.058876547381038084,0.0002496754314313671
victorbueno,4,0,5,0,0.0,0.059369179518722115,0.00024724539956050794
ainslec,7,1,11,1,4.29186689784244e-06,0.05531389157963243,0.0002470967320739861
Sabadon,3,0,4,0,0.0,0.04322468264394955,0.0002460176552955473
flaviolivolsi,5,0,12,0,0.0,0.05098657867396532,0.0002459281756347408
crqch,5,0,11,0,0.0,0.05412058296972308,0.000245644311419765
cyppe,4,2,11,3,0.00018784700313190922,0.05291661029834805,0.0002451488369242383
dradrien,4,4,6,5,0.00010070400146074167,0.058937747367618025,0.0002443207801242908
AnonymousCoderArtist,3,0,6,0,0.0,0.06356414682551098,0.0002439645745130046
precision,4,0,11,0,0.0,0.05277228341434826,0.00024341112830321142
gjoedvad,2,1,3,5,2.877229205257503e-07,0.058669490769886194,0.0002428220381696713
shubham-mamodiya,6,3,11,5,0.0006301794749813,0.05441933084687303,0.00024278719305463508
crackiee,4,0,5,0,0.0,0.05217933640969266,0.00023815495981439165
smakrysopoulos,4,0,9,0,0.0,0.0006741667720052247,0.00023810652009097804
landsman,9,18,16,21,0.0023261884208745152,0.062187687773241525,0.00023724996441311459
Roilan,7,1,11,1,0.0007597827231593361,0.055680645535631595,0.0002350752988968646
pampa,3,0,4,0,0.0,0.06314998705783365,0.00023460737416965323
thmatosbr,3,0,3,0,0.0,0.06483842347994981,0.0002334056840727772
chriopter,10,1,33,1,1.3204492359829976e-05,0.06198359737150425,0.00023300693938526078
Prajwal-Prathiksh,4,4,5,4,0.0016776717305602327,0.0681164091882372,0.00023162476034020645
thomu5000,5,1,7,2,0.0016197783949928493,0.05437470288980655,0.00022976999180185703
woopstar,6,31,21,82,0.0016357474362852253,0.056767562246429884,0.00022904762739720043
brink-lab,6,13,12,30,0.003948799370336758,0.05820269724704188,0.00022804600526296642
bagguettiesonmywrist,5,3,8,3,0.0009329875930164923,0.050544681128091254,0.00022801104451503423
med502,7,5,21,14,0.000828224869967285,0.06291944648304243,0.00022759464821227435
markjfisher,3,2,3,3,0.0008591674002735425,0.06751987037049909,0.00022693326010545146
capyfara,6,1,10,1,6.886085008684287e-05,0.06791898998848478,0.00022633142639809045
matsonj,5,0,6,0,0.0,0.06015926371236247,0.00022532737776229412
ghuntley,5,0,9,0,0.0,0.05692291244693745,0.00022323014517389208
Rakura-cloud,4,1,7,2,8.63168761577251e-07,0.04907752645138861,0.00022297766186974861
gkurts,4,5,15,7,0.0006291121383994037,0.049136292206780875,0.00022267977044407474
Else00,4,0,5,0,0.0,0.060593120903020756,0.00022267568094044545
jirpok,6,1,11,1,4.733963508211055e-05,0.05422513986009667,0.00022258009513137394
hjanuschka,7,14,23,46,0.0003572619601738398,0.058172058873337526,0.00022225983141493618
Anik200,2,0,3,0,0.0,0.05345648944670359,0.00022091489942780421
Gazler,3,2,15,3,0.0004940202545427134,0.054161503597312616,0.00022069000626365716
sliceking,3,0,6,0,0.0,0.049569661864261295,0.00022068961165569196
bcavaco,8,1,9,3,9.350994917086885e-07,0.06482482883395041,0.0002204098893350685
zxcfilatov,5,0,6,0,0.0,0.05420851243027503,0.00022010004892506098
dharmavagabond,4,69,6,86,0.007492035437990899,0.06908159273164212,0.00021934644687227346
Merovex,7,2,13,2,0.0004394032551460716,0.0557743209150657,0.00021925093153964213
rigo3t,4,1,5,1,0.00048709659001910493,0.07004491094847888,0.00021735175020027073
JaberChowdhury,3,0,5,0,0.0,0.06286321322824273,0.00021657662494510856
the-name-romel,5,1,8,1,0.0003751703702697303,0.059917325776098054,0.0002158941470984918
iccodes,4,1,22,1,3.972951159107312e-05,0.06332110284157352,0.00021451727952239918
e-minguez,5,0,10,0,0.0,0.05913743247223374,0.00021445713873392182
denisgolius,4,0,6,0,0.0,0.0544037077307697,0.00021423367700810329
seanpk,6,0,7,0,0.0,0.05368362117283799,0.00021388564501964702
nabeeladzan,4,1,5,1,0.0004967806144758335,0.06738263486161596,0.00021267621067105793
skoom21,8,1,9,1,0.0004889736614111943,0.06390180484177921,0.00021247804255630163
JoaoPedro-cody,5,0,6,0,0.0,0.06767817322684438,0.00021172335875402663
goodroot,4,0,4,0,0.0,0.050144749207155156,0.00021129875700557136
ochowie,5,0,6,0,0.0,0.03929450710975965,0.00020975136862215544
OmarSkalli,7,7,17,10,0.0009768647307899863,0.06272896187684968,0.00020958263954747223
oluwatimio,2,0,2,0,0.0,0.05121505810255323,0.0002087168453617013
maxrabin,3,0,3,0,0.0,0.0491496674574909,0.00020869839286730076
guibbv2011,4,0,7,0,0.0,0.06285059919423132,0.0002078715563991336
ankurkotwal,6,2,15,3,0.0007442904827162361,0.05815165120490274,0.00020717669169349482
lestex,6,0,7,0,0.0,0.06873782324028488,0.00020475082537338137
kanishkdudeja,4,6,4,8,0.0006670687127877385,0.0586765599148939,0.00020461174402959816
y0no,5,3,5,7,0.0007294471365719041,0.0675749212228191,0.00020457233383735306
Danmoreng,4,0,6,0,0.0,0.05860765747555644,0.00020441364593053177
Mohamedsayhii,6,10,20,14,0.0060579079423497394,0.06369309577697417,0.0002038434461231948
blackmou5e,4,1,6,1,0.0009306005386013152,0.06889496332484425,0.0002028852871651668
foretoo,3,0,4,0,0.0,0.0008532423208191125,0.0002018574677786202
crestanigui,4,1,5,5,4.5556129083243805e-07,0.0012135001896094047,0.0002018574677786202
eshedruf,3,0,3,0,0.0,0.0011376564277588168,0.0002018574677786202
victornor,3,0,3,0,0.0,0.0011376564277588168,0.0002018574677786202
JumpIn-Git,1,0,2,0,0.0,0.0452622129287765,0.00020170143358013334
Ugwattu,4,0,8,0,0.0,0.06276399435822852,0.00020127807754210996
florianbeer,3,0,11,0,0.0,0.038673755226041766,0.00020051771799554715
rthabett,7,5,11,6,0.0010668431168484257,0.05029928137143841,0.00020019157655383805
JonathanRiche,4,0,5,0,0.0,0.046645238921898896,0.0001990535280361463
PinheiroCosta,2,0,4,0,0.0,0.04678007348792774,0.00019713092752521487
jimd0t,4,0,6,0,0.0,0.04966323966900262,0.00019618399156134722
michaelshmitty,4,1,6,4,1.4386146026287516e-07,0.06279561651093805,0.00019615903049049376
andresatierf,5,3,31,15,8.721908424719405e-06,0.051191383961673775,0.00019596361133326313
jonbloor,3,1,8,2,0.0009017236329277017,0.04658178495421533,0.0001949831579873797
baleygr-ofnir,4,0,9,0,0.0,0.05712264920533176,0.0001949599283039447
pilgren,5,0,11,0,0.0,0.05345037064392256,0.00019461242783141175
Sicherheit007,3,0,4,0,0.0,0.06904652815035121,0.00019417892878498635
Cammisuli,5,0,13,0,0.0,0.06749287629049129,0.0001941165549324079
xElkomy,4,0,4,0,0.0,0.05021395771855191,0.0001929316978769728
