colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
babu-fr1k,6,0,6,0,0.0,0.06383451464553466,0.0001928429493631428
Krymancer,4,5,6,5,0.0006729733366776068,0.06747864105824354,0.00019275554055741726
tekumara,5,0,7,0,0.0,0.05346152764113809,0.00019197683013127923
kylebragger,3,0,6,0,0.0,0.0569083053058746,0.00019165134080287243
shawntz,4,1,9,4,2.877229205257503e-07,0.06755484794661729,0.00019158499635827227
deanandreakis,5,0,6,0,0.0,0.06269323449987652,0.00019069083736163606
alpiua,1,1,1,1,0.0003616522973729831,0.04604480048877091,0.00019045876924475422
rparrapy,2,0,2,0,0.0,0.050058992443391,0.00019010712755203576
manuel1618,6,21,28,28,0.0010425351927066998,0.04888271358288861,0.0001898376775207824
guilhermetk,5,22,21,27,0.0009151953232361547,0.049092634905841925,0.00018831250070055553
kyedavey,5,6,7,8,0.0007566552997282874,0.07067204509041794,0.0001872129392364058
tomasnorre,3,0,6,0,0.0,0.06431128182564128,0.00018650114916097358
nonetrix,5,0,8,0,0.0,0.054823101217276175,0.00018581416398082273
NLedge,4,0,12,0,0.0,0.0417534936971399,0.00018573986760675375
Canatulee,3,0,3,0,0.0,0.06380315470979567,0.00018362750442498495
gangaasoonu,8,7,13,10,0.002423122326085489,0.06412428694761133,0.00018226961994860803
rCirelli,6,1,13,1,0.00043122278615001264,0.050956434601775374,0.00018221365890576968
data-davey,4,0,4,0,0.0,0.05007555065411118,0.0001814579032552124
