colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
victoralensai,4,6,0.0015168752370117557,0.0012981627747503447,0.2100229975302119,0.0,0.00031053303299984037,0.0203872908910654,2
Xoorgh,2,5,0.0007584376185058779,0.0,0.1691011656652258,0.0,0.0003103006089239883,0.0,5
NeimadTL,4,5,0.0015168752370117557,0.0033005049715069353,0.27312807038307696,0.0,0.00030979772116134646,0.02514412367016373,1
gerdint,1,4,0.0003792188092529389,0.0,0.11032340034486365,0.0,0.00030958074011607514,0.0,9
matiasmoya,2,5,0.0007584376185058779,0.0007403110745127559,0.13945965361089727,0.0,0.00030924819066305607,0.0,1
geolaw,2,5,0.0007584376185058779,0.0007403110745127559,0.13945965361089727,0.0,0.00030924819066305607,0.0,1
codewhizz,5,6,0.0018960940462646946,0.00037654580732227543,0.21410354660877076,0.0,0.00030852141156062653,0.01970209347112329,1
Copilot,1,5,0.0003792188092529389,0.0,0.10247176146881704,0.0,0.0003085049146689336,0.0,12
grimkraut,2,3,0.0007584376185058779,0.0014800467031844597,0.20623041282557045,0.0,0.00030785218977235566,0.0,48
equivalent,2,5,0.0007584376185058779,0.0,0.1931359150936986,0.0,0.000307701854658244,0.0,10
balduinofernando,3,4,0.0011376564277588168,0.0007506528866934628,0.18677558128560248,0.0,0.00030730892783128875,0.0,4
svicervlad,1,5,0.0003792188092529389,0.0,0.10584762688856741,0.0,0.0003069377279778648,0.0,3
gregid,2,5,0.0007584376185058779,0.0,0.20663748001101448,0.0,0.00030624012640910334,0.0,24
meirdick,4,5,0.0015168752370117557,0.0005756219485056503,0.21680085593700274,0.0,0.00030551773058750976,0.011036132177763848,9
dannevang,3,6,0.0011376564277588168,0.0008685031194965378,0.2005351679666314,0.0,0.00030479431381126527,0.0,3
linux-fertxo,5,5,0.0018960940462646946,0.004396335960834854,0.24832033202746834,0.0,0.00030320906572005535,0.007155910797039565,1
keanehatescoding,5,6,0.0018960940462646946,0.0032392394506187377,0.20790278191592262,0.0,0.00030305445182263657,0.02071086915412294,6
kmf,5,5,0.0018960940462646946,0.004974735502423108,0.2769516225147624,0.0,0.00030304776474234126,0.012156425248854349,2
dragonovs,2,3,0.0007584376185058779,1.309139288392164e-05,0.15669858547174284,0.0,0.0003030436320640797,0.0,9
davidszp,4,4,0.0015168752370117557,0.0007137555376025512,0.1997221875559559,0.0,0.0003027079479438588,0.0,4
v3rtx,2,6,0.0007584376185058779,0.0,0.2438141794715114,0.0,0.00030240359779069105,0.05010313232632288,1
virtualabishek,3,4,0.0011376564277588168,0.0015672398374550805,0.24778156996587028,0.0,0.00030131299748579067,0.009766829844146303,2
MrTrigger,4,5,0.0015168752370117557,0.002047569383045057,0.21557315482230158,0.0,0.0003005270107215319,0.013233936976460298,2
MarsDude-eu,3,4,0.0011376564277588168,8.980604491228005e-05,0.20532034971430294,0.0,0.000300389858272032,0.007751937984496124,3
chrisrharris,2,4,0.0007584376185058779,0.0,0.16969506412629506,0.0,0.00030027429565404124,0.0,8
nullndr,2,6,0.0007584376185058779,0.0,0.16411948000874813,0.0,0.0003002084067288656,0.05010313232632288,1
negoro26,5,6,0.0018960940462646946,0.004808658317533351,0.2598515999021538,0.0,0.00029942593382414044,0.021052244166540335,11
tahaN415,3,5,0.0011376564277588168,7.572062603869353e-05,0.19915227643103398,0.0,0.0002993225632264339,0.012305434511381391,22
Skedar,4,5,0.0015168752370117557,0.0002795894641483904,0.22054995781723358,0.0,0.0002982155151898491,0.009766829844146303,4
tighthead3,3,3,0.0011376564277588168,0.0009131709477858308,0.17850835662194847,0.0,0.00029801510106903823,0.0,3
bunkerWHz,2,4,0.0007584376185058779,2.877229205257503e-07,0.16708819042720788,0.0,0.00029781720587137125,0.0,10
raphaeltannous,2,5,0.0007584376185058779,0.0,0.16257959877403425,0.0,0.00029755838362427965,0.0,24
vrinek,3,5,0.0011376564277588168,0.0,0.2515271918564346,0.0,0.00029719676851954716,0.03330627923853128,1
andrewjanssen,2,6,0.0007584376185058779,0.0,0.14654448057474043,0.0,0.0002965739475197227,0.08451723687591348,1
samanshirdel,1,6,0.0003792188092529389,0.0,0.10843785582451122,0.0,0.0002959140072235224,0.0,1
abradburne,1,6,0.0003792188092529389,0.0,0.10843785582451122,0.0,0.0002959140072235224,0.0,1
JustinMissmahl,1,6,0.0003792188092529389,0.0,0.10843785582451122,0.0,0.0002959140072235224,0.0,1
oppegard,3,6,0.0011376564277588168,7.601795635575678e-07,0.19948432865850932,0.0,0.00029456159756972215,0.028927736863674978,3
tionichm,3,4,0.0011376564277588168,0.0025607259117713696,0.2458901075997186,0.0,0.0002931610846859206,0.0,6
ebaerwald,3,4,0.0011376564277588168,0.0007403110745127556,0.21129468669194557,0.0,0.0002931363303934275,0.0,2
merouaneamqor,3,4,0.0011376564277588168,0.0007403110745127557,0.19520667542956452,0.0,0.0002927176679270403,0.009766829844146303,20
deanpcmad,4,6,0.0015168752370117557,0.0030527336479191022,0.24579388763978918,0.0,0.0002923513897719358,0.023328857466186025,1
CinnamonShaey,1,3,0.0003792188092529389,0.0,0.13471155002165702,0.0,0.00029231777631462364,0.0,37
ist14k,3,4,0.0011376564277588168,0.0007403110745127557,0.19940516821062895,0.0,0.0002922212387894415,0.012305434511381391,2
daltonbr,5,5,0.0018960940462646946,0.006915565628663144,0.27393208890688237,0.0,0.0002920478168586966,0.019807873060309712,1
Yug3ne,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,54
beniaminogreen,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,53
devndevs,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,50
Dzubrul,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,50
omarchy-user,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,53
imdoingsomething,1,1,0.0003792188092529389,0.0,0.0005056250790039185,0.0,0.0002919972649333266,0.0,54
unikitty37,1,2,0.0003792188092529389,0.0,0.09910090006918017,0.0,0.0002913066566944114,0.0,11
zachasme,2,6,0.0007584376185058779,0.0,0.1848245637379671,0.0,0.0002912473642398617,0.06312599108360248,2
kylebragger,3,6,0.0011376564277588168,0.0,0.19681224498307417,0.0,0.00029124618457440437,0.0458516871408439,4
boognevatz,2,4,0.0007584376185058779,0.0007403110745127553,0.15626975491068074,0.0,0.00029027693558972945,0.0,2
gammons,4,4,0.0015168752370117557,0.00152048059699899,0.23203778347376477,0.0,0.00028992108477492867,0.0,12
tmkn,3,4,0.0011376564277588168,0.0007403110745127557,0.2451702887835602,0.0,0.0002897751371003692,0.012305434511381391,2
TomRaaff,2,5,0.0007584376185058779,0.0,0.164023052582186,0.0,0.0002894629085814328,0.0,5
rnadler,2,4,0.0007584376185058779,0.0007403110745127559,0.1951611868458851,0.0,0.0002894365200183339,0.0,1
MichaelM3,3,5,0.0011376564277588168,2.7995666588985734e-06,0.2080577276791922,0.0,0.00028926600977182863,0.0,3
clauzf,3,6,0.0011376564277588168,3.698769967633606e-05,0.17431005407617073,0.0,0.0002889459440776611,0.0670970949265392,3
mlive1992,3,4,0.0011376564277588168,7.918447544357826e-05,0.21496450371782383,0.0,0.00028864894017956524,0.0,1
robzolkos,4,6,0.0015168752370117557,0.0015496315190079869,0.2545597892050583,0.0,0.000288569905182481,0.02408817771835463,1
spencerflagg,4,4,0.0015168752370117557,0.0001900350960638357,0.20481822119947216,0.0,0.00028851495041173187,0.0,2
jvanbaarsen,5,5,0.0018960940462646946,0.004430004662928911,0.2584615903151862,0.0,0.00028802611622966384,0.012905797028058963,2
JavierBertolino,2,6,0.0007584376185058779,0.0,0.17032778248619923,0.0,0.00028802295244363994,0.10020626465264576,4
ecvijil,3,4,0.0011376564277588168,0.0007403110745127556,0.2017428231454894,0.0,0.0002874911497323248,0.009766829844146303,4
SushantChandla,2,4,0.0007584376185058779,4.8898665679654565e-06,0.19921543922089477,0.0,0.00028686296978206263,0.0,12
jwkicklighter,3,5,0.0011376564277588168,0.0001096098172672009,0.2450985386258828,0.0,0.00028655506841092165,0.03078725025475987,14
rmusaev99,4,5,0.0015168752370117557,0.0022665305293770102,0.2603902082551482,0.0,0.00028565441541654,0.030980864312259427,9
gregmolnar,4,6,0.0015168752370117557,0.00013065516991340634,0.22285835723380565,0.0,0.0002855711546594278,0.040907643120814345,6
CWood-sdf,3,6,0.0011376564277588168,7.31295756336282e-07,0.18601503808794884,0.0,0.0002854708427958399,0.053437209890750494,3
Serendeep,2,6,0.0007584376185058779,0.0,0.19510056836884027,0.0,0.00028413965818059166,0.10936440408003523,3
gaudi369,3,3,0.0011376564277588168,0.0008192632713650947,0.2436959378713797,0.0,0.0002839118964277138,0.0,12
phush0,2,4,0.0007584376185058779,0.0,0.20013582280181016,0.0,0.0002835038642384699,0.03691630353414417,29
ryanbateman,2,4,0.0007584376185058779,0.0,0.16962632456480725,0.0,0.0002828733729346583,0.0,13
