colaborador,degree,betweenness,closeness,pagerank,eigenvector
Jabuk,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
tubaman,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
YannickHerrero,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
shelldandy,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
apdingman,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
JavierBertolino,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
Humam-Hamdan,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
bastos,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
azeemsher788,0.0007584376185058779,4.635568315824115e-05,0.16881711479230832,0.0002004271426447268,0.019428591257257148
luigig44,0.0007584376185058779,0.0,0.1665344415360194,0.00020039559121501588,0.017232814485199692
brennandunn,0.0007584376185058779,6.903247657034662e-06,0.12706747177736938,0.00020028216597189696,0.002117682907128455
j-c-m,0.0007584376185058779,0.00016321658922291792,0.16322387575222017,0.00019993146878435287,0.018001387112385844
jeremy,0.0003792188092529389,0.0,0.09963536976856584,0.00019982142048411068,0.001040954294334957
OerdBej,0.0007584376185058779,0.0,0.1516389111867901,0.0001997156408437493,0.00763225325352737
black-adm,0.0007584376185058779,6.554825307264184e-05,0.1629380751915645,0.00019968113643921754,0.017693613345514766
PavelAlennikov,0.0007584376185058779,3.376622030551853e-05,0.1623170178599344,0.00019939496699744185,0.017975497753066838
BarnardCollier,0.0007584376185058779,3.376622030551853e-05,0.1623170178599344,0.00019939496699744185,0.017975497753066838
dvalnn,0.0007584376185058779,0.0,0.1621180229354707,0.0001993718929507003,0.01708944648673141
2disbetter,0.0007584376185058779,4.315843807886255e-07,0.13323285181111066,0.00019927570309761426,0.0015747433745012006
semakusut,0.0007584376185058779,2.1573477846425696e-05,0.13637131564556693,0.00019903402814054017,0.002536713041521758
purrsec,0.0003792188092529389,0.0,0.08276526400678344,0.0001990038558217662,0.0018497248642202024
antoniodavid,0.0003792188092529389,0.0,0.08344975154290969,0.00019865609487104013,0.002115399064498779
weholt,0.0007584376185058779,0.0,0.13295084767985635,0.00019849834056910923,0.0019190096645638702
frasergr,0.0007584376185058779,0.0,0.15191396816336689,0.00019835854704077443,0.007762649436345778
transporsche,0.0007584376185058779,1.1236913099042302e-05,0.13663087277469818,0.0001983568159023119,0.00231314539154435
mvee-11,0.0007584376185058779,1.550143184754757e-05,0.13143466831209064,0.0001983086547052263,0.0011258454688199133
pmd-coutinho,0.0007584376185058779,0.0,0.14610136183368755,0.00019788332875471607,0.009732064926240494
bigint,0.0007584376185058779,0.0,0.16230653226446543,0.00019776602515950983,0.017547313619322234
jammie-jelly,0.0003792188092529389,0.0,0.10444401061913555,0.0001968680315395542,0.0019058993932489809
cevdetta,0.0007584376185058779,0.0,0.16678870946985694,0.0001965310689147897,0.017836523766527612
andrepadez,0.0007584376185058779,0.0,0.16678870946985694,0.0001965310689147897,0.017836523766527612
