colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
mmsbrggr,23,42,0.00819088319088319,0.008112096296508343,0.21049474051794878,0.0,0.00251576044622917,0.002359714197703163,5
hyprhex,25,55,0.008903133903133903,0.013372077046612162,0.24689477223619516,0.0,0.0024631905922115043,0.007328376460534467,19
Tatuck,23,33,0.00819088319088319,0.013815437578927147,0.2450855222793484,0.0,0.002434216673018962,0.0006508140066408065,11
vlofgren,30,57,0.010683760683760684,0.010426552459938431,0.23908485807556493,0.0,0.0024296366195565356,0.006207288318738546,2
itsnumpty,22,54,0.007834757834757835,0.007146806562852791,0.23337101148919728,0.0,0.0023754184303973317,0.004042042375576493,13
nilszeilon,15,50,0.005341880341880342,0.005912650453890162,0.19867815005002204,0.0,0.002357923946623685,0.0059410627671222125,10
fisika1729,26,49,0.00925925925925926,0.010667073324408072,0.2398134486621535,0.0,0.0023493640930483074,0.0048135280719351775,8
Kn0ax,11,58,0.003917378917378918,0.0020874925696205827,0.16388574339848383,0.0,0.002341979621703257,0.02558891075282468,13
shawnyeager,25,53,0.008903133903133903,0.008837960160446856,0.2442130929831733,0.0,0.0022884295822840073,0.008350364141246716,2
goomba27,22,25,0.007834757834757835,0.010708358779808828,0.18832960137422727,0.0,0.0022671464557019716,0.0,7
illangpasandre-prog,20,25,0.007122507122507123,0.010333455202648823,0.21712234413078363,0.0,0.00224852371574695,0.00026370069645433096,16
pelephant2,19,44,0.006766381766381766,0.005477229521165568,0.2285078697347038,0.0,0.0020356687567553563,0.0063050259668851055,9
RushiChaganti,9,55,0.0032051282051282055,0.0016813205704586864,0.25212953700750534,0.0,0.001993884803582003,0.019050441441774167,1
c4software,24,45,0.008547008547008548,0.007363487948397422,0.23371756173337238,0.0,0.001977588037697218,0.006573438418791156,3
vaqMAD,29,39,0.010327635327635329,0.023773723700524992,0.2642827584673693,0.0,0.001972512578123667,0.003114292109118077,2
defaultdino,21,28,0.007478632478632479,0.009315191092116487,0.22041343164376365,0.0,0.001963076164411085,0.0021878763098062606,5
JosefAmbruz,15,26,0.005341880341880342,0.0104642590039705,0.2329849048000389,0.0,0.0019628501162404794,0.0,5
ludo237,21,48,0.007478632478632479,0.004301967865575023,0.2384031584000398,0.0,0.001954779870419598,0.01230100398577562,4
mir4zul,28,33,0.009971509971509971,0.018301364547658565,0.26172343213573773,0.0,0.0019357371793710168,0.0024266960488294694,5
paul-fornage,23,42,0.00819088319088319,0.009003748779821618,0.24071962633591062,0.0,0.0019235303405673381,0.005497251811036042,4
vyrx-dev,13,49,0.00462962962962963,0.0014657572463492921,0.19088240327628214,0.0,0.0019186624949827605,0.020869872137201963,2
curtisspendlove,22,35,0.007834757834757835,0.0075411617596640125,0.22618975794434412,0.0,0.0019171852221667894,0.002544377260657956,11
tahayvr,19,46,0.006766381766381766,0.006865869515250954,0.23713539366512867,0.0,0.0018601453840228507,0.01085499289152951,4
ironicbadger,19,34,0.006766381766381766,0.01072565191102747,0.21612266936378408,0.0,0.0018407712844881001,0.002699650096883638,3
ElBrodino,26,32,0.00925925925925926,0.01898146690377538,0.2636057780023297,0.0,0.0018283011717030785,0.002088592635065921,9
adamavenir,12,46,0.004273504273504274,0.003634854259960947,0.19767998867555572,0.0,0.001775804268685155,0.00805557479195631,10
Shankar-1212,24,34,0.008547008547008548,0.010242833548125229,0.24202611006093594,0.0,0.0017744896537178474,0.001539752911026888,2
wavic,13,29,0.00462962962962963,0.006214248798680735,0.17352608124545346,0.0,0.0017672811005321613,0.0014516554283323763,8
andresatierf,8,48,0.002849002849002849,5.902259506828439e-06,0.18830309287941774,0.0,0.001766026051422042,0.025273172753492338,4
ryanyogan,17,42,0.006054131054131055,0.004444869461076192,0.23314732020944987,0.0,0.0017348848365649578,0.009426530037159868,1
cluah,16,37,0.005698005698005698,0.008820397731274606,0.23795790170078682,0.0,0.0017338909008050693,0.00838396966395125,2
maxguzenski,24,35,0.008547008547008548,0.012412144892157057,0.235300206377948,0.0,0.0017292679599885791,0.0036732374091572556,6
manuel1618,25,36,0.008903133903133903,0.018657337679926073,0.2676401567193805,0.0,0.0017195492326215174,0.003316638620770909,2
TobbEEEEH,16,29,0.005698005698005698,0.006321852943321626,0.18997434299372667,0.0,0.0017039499504000685,0.0006374861405245471,6
d-cas,16,36,0.005698005698005698,0.008354068703711264,0.2569479157518147,0.0,0.0016886023972915072,0.008701568570513995,6
nmonev,18,22,0.006410256410256411,0.008981619678959985,0.22954689831191205,0.0,0.0016766338118052106,0.00042590657100705076,4
ghost,21,38,0.007478632478632479,0.002222076036400194,0.22821551063831857,0.0,0.0016576538884193143,0.005223205049094092,11
weierfischen,22,35,0.007834757834757835,0.00678167141448189,0.23554878481588581,0.0,0.0016354569069679879,0.006335697546878505,4
crazed-developer,16,27,0.005698005698005698,0.00812266467345403,0.2360475206637536,0.0,0.0016211702345290044,0.0016456196478011184,10
matheorism,16,31,0.005698005698005698,0.004315220600145282,0.23274170552571738,0.0,0.0015945817525863837,0.002971346123566739,11
acrogenesis,16,28,0.005698005698005698,0.007254031913638895,0.215166758884089,0.0,0.0015591971513063889,0.004845786046790688,25
trevorputbrese,13,28,0.00462962962962963,0.009652039161480446,0.27268636839825183,0.0,0.0015552264013902646,0.0034717954623016936,24
sspaeti,23,33,0.00819088319088319,0.010380356727123442,0.2605764167046793,0.0,0.0015358301144824736,0.003914948060384935,2
maxdmayhew,12,13,0.004273504273504274,0.006953715115245446,0.2096371265943467,0.0,0.0015184700678018228,0.0,6
jzetterman,9,36,0.0032051282051282055,0.0007564833249039254,0.19464561666838692,0.0,0.0015073163179377764,0.02493385937133398,4
zigmoo,12,30,0.004273504273504274,0.0043550713194880596,0.24372368798721505,0.0,0.0015061935289453496,0.001957868594667163,17
syabro,14,34,0.004985754985754986,0.009865860171459061,0.2500793201910129,0.0,0.0014917221110951572,0.0036062689167955277,6
LeAlencar,12,34,0.004273504273504274,0.0033129142367910825,0.18920858826982864,0.0,0.0014850883682971641,0.011800276351145791,13
emourad,20,32,0.007122507122507123,0.007531446132730888,0.23715641257965317,0.0,0.0014750358592800056,0.0061283236992462605,3
med502,12,35,0.004273504273504274,0.005540277843791884,0.2509471625139417,0.0,0.0014747377098223945,0.011737803423540309,3
axelfontaine,18,34,0.006410256410256411,0.0065915062801169405,0.25719490980713705,0.0,0.0014715500157378666,0.01139995325460119,1
ChristerNilsson,16,33,0.005698005698005698,0.004970570129287438,0.23927728910066595,0.0,0.001436703432534713,0.013920867364812252,2
