colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
precision,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
mir4zul,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
jzetterman,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
jamesmcm,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
jamerrq,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
MananDesai54,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
nightdevil00,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
RodriMora,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
hipsterusername,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
acrogenesis,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
prathamngundikere,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
iamobservable,2,0,3,0,0.0,0.0012771392081736908,0.00014412228531065455
JaxonWright,1,0,7,0,0.0,0.00023946360153256704,0.00014411836226882889
sgruendel,1,0,7,0,0.0,0.00023946360153256704,0.00014411836226882889
alexperreault,1,0,7,0,0.0,0.00023946360153256704,0.00014411836226882889
vyrx-dev,1,0,7,0,0.0,0.00023946360153256704,0.00014411836226882889
fisika1729,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
slinn-01,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
coolaj86,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
phucisstupid,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
naxels,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
MadMax-067,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
shahriyardx,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
vrinek,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
infogulch,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
oxidebits,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
FlameHorizon,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
euandeas,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
bhood239,2,0,2,0,0.0,0.0019157088122605363,0.00014403975782317319
